PAR,rETR,Colony,Treatment,Age
110,27.5,41,SD,60
185,25.16,41,SD,60
280,17.64,41,SD,60
335,16.415,41,SD,60
395,0,41,SD,60
460,0,41,SD,60
0,0,42,SD,60
1,0.53,42,SD,60
20,8.14,42,SD,60
55,19.745,42,SD,60
110,27.39,42,SD,60
185,27.565,42,SD,60
280,23.52,42,SD,60
335,18.09,42,SD,60
395,11.455,42,SD,60
460,13.34,42,SD,60
0,0,43,SD,60
1,0.472,43,SD,60
20,6.82,43,SD,60
55,17.49,43,SD,60
110,21.23,43,SD,60
185,16.835,43,SD,60
280,0,43,SD,60
335,0,43,SD,60
395,0,43,SD,60
460,0,43,SD,60
0,0,44,SD,60
1,0.503,44,SD,60
20,7.14,44,SD,60
55,19.03,44,SD,60
110,26.73,44,SD,60
185,24.605,44,SD,60
280,16.8,44,SD,60
335,14.74,44,SD,60
395,0,44,SD,60
460,0,44,SD,60
0,0,45,SD,60
1,0.506,45,SD,60
20,6.6,45,SD,60
55,18.205,45,SD,60
110,21.67,45,SD,60
185,17.76,45,SD,60
280,15.4,45,SD,60
335,0,45,SD,60
395,0,45,SD,60
460,0,45,SD,60
0,0,46,SD,60
1,0.548,46,SD,60
20,8.68,46,SD,60
55,20.955,46,SD,60
110,27.83,46,SD,60
185,24.235,46,SD,60
280,22.68,46,SD,60
335,0,46,SD,60
395,0,46,SD,60
460,0,46,SD,60
0,0,47,SD,60
1,0.539,47,SD,60
20,7.8,47,SD,60
55,17.215,47,SD,60
110,17.6,47,SD,60
185,15.355,47,SD,60
280,10.08,47,SD,60
335,0,47,SD,60
395,0,47,SD,60
460,0,47,SD,60
0,0,48,SD,60
1,0.516,48,SD,60
20,7.3,48,SD,60
55,17.105,48,SD,60
110,16.94,48,SD,60
185,15.17,48,SD,60
280,13.72,48,SD,60
335,0,48,SD,60
395,0,48,SD,60
460,0,48,SD,60
0,0,49,SD,60
1,0.525,49,SD,60
20,7.88,49,SD,60
55,18.975,49,SD,60
110,23.98,49,SD,60
185,19.425,49,SD,60
280,19.6,49,SD,60
335,0,49,SD,60
395,0,49,SD,60
460,0,49,SD,60
0,0,50,SD,60
1,0.536,50,SD,60
20,7.82,50,SD,60
55,17.215,50,SD,60
110,18.92,50,SD,60
185,15.54,50,SD,60
280,12.04,50,SD,60
335,0,50,SD,60
395,0,50,SD,60
460,0,50,SD,60
0,0,51,SD,60
1,0.519,51,SD,60
20,7.54,51,SD,60
55,16.39,51,SD,60
110,19.58,51,SD,60
185,16.835,51,SD,60
280,12.32,51,SD,60
335,0,51,SD,60
395,0,51,SD,60
460,0,51,SD,60
0,0,52,SD,60
1,0.504,52,SD,60
20,6.72,52,SD,60
55,14.52,52,SD,60
110,13.75,52,SD,60
185,12.025,52,SD,60
280,0,52,SD,60
335,0,52,SD,60
395,0,52,SD,60
460,0,52,SD,60
0,0,53,SD,60
1,0.516,53,SD,60
20,7.46,53,SD,60
55,16.775,53,SD,60
110,20.13,53,SD,60
185,17.02,53,SD,60
280,13.44,53,SD,60
335,0,53,SD,60
395,0,53,SD,60
460,0,53,SD,60
0,0,54,SD,60
1,0.53,54,SD,60
20,7.84,54,SD,60
55,18.975,54,SD,60
110,24.97,54,SD,60
185,22.015,54,SD,60
280,15.96,54,SD,60
335,0,54,SD,60
395,0,54,SD,60
460,0,54,SD,60
0,0,55,SS,60
1,0.504,55,SS,60
20,8.04,55,SS,60
55,15.84,55,SS,60
110,16.17,55,SS,60
185,18.13,55,SS,60
280,0,55,SS,60
335,0,55,SS,60
395,0,55,SS,60
460,0,55,SS,60
0,0,56,SS,60
1,0.417,56,SS,60
20,5.98,56,SS,60
55,11.66,56,SS,60
110,13.75,56,SS,60
185,0,56,SS,60
280,0,56,SS,60
335,0,56,SS,60
395,0,56,SS,60
460,0,56,SS,60
0,0,57,SS,60
1,0.394,57,SS,60
20,4.52,57,SS,60
55,7.59,57,SS,60
110,14.74,57,SS,60
185,0,57,SS,60
280,0,57,SS,60
335,0,57,SS,60
395,0,57,SS,60
