,Depth,Date,Time,Temp,Light
486,Deep,23/03/2022,10:25,21.47,1722.2
487,Deep,23/03/2022,10:30,21.52,1270.1
488,Deep,23/03/2022,10:35,21.52,2583.4
489,Deep,23/03/2022,10:40,21.52,2497.2
490,Deep,23/03/2022,10:45,21.52,2454.2
491,Deep,23/03/2022,10:50,21.52,2540.3
492,Deep,23/03/2022,10:55,21.52,2497.2
493,Deep,23/03/2022,11:00,21.52,2497.2
494,Deep,23/03/2022,11:05,21.52,2583.4
495,Deep,23/03/2022,11:10,21.57,2454.2
496,Deep,23/03/2022,11:15,21.57,2583.4
497,Deep,23/03/2022,11:20,21.57,2583.4
498,Deep,23/03/2022,11:25,21.57,2669.5
499,Deep,23/03/2022,11:30,21.52,2583.4
500,Deep,23/03/2022,11:35,21.57,2626.4
501,Deep,23/03/2022,11:40,21.57,2712.6
502,Deep,23/03/2022,11:45,21.57,2497.3
503,Deep,23/03/2022,11:50,21.57,2540.3
504,Deep,23/03/2022,11:55,21.52,1340.1
505,Deep,23/03/2022,12:00,21.52,2540.3
506,Deep,23/03/2022,12:05,21.52,2066.7
507,Deep,23/03/2022,12:10,21.57,2368.1
508,Deep,23/03/2022,12:15,21.52,2325
509,Deep,23/03/2022,12:20,21.57,1980.6
510,Deep,23/03/2022,12:25,21.52,947.2
511,Deep,23/03/2022,12:30,21.52,866.5
512,Deep,23/03/2022,12:35,21.47,845
513,Deep,23/03/2022,12:40,21.52,732
514,Deep,23/03/2022,12:45,21.52,1808.4
515,Deep,23/03/2022,12:50,21.52,2066.7
516,Deep,23/03/2022,12:55,21.57,2066.7
517,Deep,23/03/2022,13:00,21.57,1980.6
518,Deep,23/03/2022,13:05,21.52,683.5
519,Deep,23/03/2022,13:10,21.52,1221.7
520,Deep,23/03/2022,13:15,21.47,732
521,Deep,23/03/2022,13:20,21.47,581.3
522,Deep,23/03/2022,13:25,21.52,1001.1
523,Deep,23/03/2022,13:30,21.57,1851.4
524,Deep,23/03/2022,13:35,21.52,645.9
525,Deep,23/03/2022,13:40,21.47,624.3
526,Deep,23/03/2022,13:45,21.47,457.5
527,Deep,23/03/2022,13:50,21.52,618.9
528,Deep,23/03/2022,13:55,21.52,635.1
529,Deep,23/03/2022,14:00,21.52,796.6
530,Deep,23/03/2022,14:05,21.52,592.1
531,Deep,23/03/2022,14:10,21.52,619
532,Deep,23/03/2022,14:15,21.52,1350.9
533,Deep,23/03/2022,14:20,21.52,382.2
534,Deep,23/03/2022,14:25,21.52,527.4
535,Deep,23/03/2022,14:30,21.52,737.3
536,Deep,23/03/2022,14:35,21.52,608.2
537,Deep,23/03/2022,14:40,21.57,1038.7
538,Deep,23/03/2022,14:45,21.52,409.1
539,Deep,23/03/2022,14:50,21.57,931.1
540,Deep,23/03/2022,14:55,21.52,398.3
541,Deep,23/03/2022,15:00,21.52,651.2
542,Deep,23/03/2022,15:05,21.52,522.1
543,Deep,23/03/2022,15:10,21.57,785.8
544,Deep,23/03/2022,15:15,21.57,462.9
545,Deep,23/03/2022,15:20,21.57,441.4
546,Deep,23/03/2022,15:25,21.62,495.2
547,Deep,23/03/2022,15:30,21.62,516.7
548,Deep,23/03/2022,15:35,21.57,479
549,Deep,23/03/2022,15:40,21.62,543.6
550,Deep,23/03/2022,15:45,21.57,425.2
551,Deep,23/03/2022,15:50,21.62,608.2
552,Deep,23/03/2022,15:55,21.62,430.6
553,Deep,23/03/2022,16:00,21.62,484.4
554,Deep,23/03/2022,16:05,21.57,387.5
555,Deep,23/03/2022,16:10,21.57,317.6
